,Date,Open,High,Low,Close,Volume
0,2003-02-27,83.7,84.75,83.16,84.34,51126000
1,2003-02-28,84.47,85.23,84.16,84.9,43666800
2,2003-03-03,85.26,85.78,83.72,84.09,42923100
3,2003-03-04,83.95,84.01,82.65,82.75,31440500
4,2003-03-05,82.61,83.54,82.36,83.45,43974700
5,2003-03-06,82.87,83.52,82.47,82.75,41217700
6,2003-03-07,81.61,83.99,81.43,83.32,63538000
7,2003-03-10,82.6,82.86,81.1,81.32,41014100
8,2003-03-11,81.48,82.0,80.48,80.52,48102700
9,2003-03-12,80.38,81.1,79.38,81.06,62459800
10,2003-03-13,82.18,83.91,81.53,83.86,72117800
11,2003-03-14,84.2,84.77,83.35,84.13,63951800
12,2003-03-17,83.46,86.95,83.22,86.78,88217504
13,2003-03-18,87.15,87.35,86.28,87.29,50792300
14,2003-03-19,87.28,88.16,86.68,87.96,49630800
15,2003-03-20,87.33,88.59,86.35,88.15,67321600
16,2003-03-21,88.8,89.88,87.93,89.67,71165296
17,2003-03-24,88.02,88.14,86.35,86.69,65398900
18,2003-03-25,86.74,88.26,86.44,87.52,61040100
19,2003-03-26,87.56,87.85,86.8,87.08,45740800
20,2003-03-27,86.4,87.66,85.99,87.15,53120200
21,2003-03-28,86.47,87.28,86.25,86.71,32583000
22,2003-03-31,85.35,86.59,84.4,84.74,61119500
23,2003-04-01,85.25,86.39,84.91,86.04,53574000
24,2003-04-02,87.54,88.77,87.5,88.12,50431200
25,2003-04-03,88.87,88.99,87.65,87.7,48755500
26,2003-04-04,88.43,88.59,87.62,88.22,36250100
27,2003-04-07,90.34,90.85,87.97,88.05,69776200
28,2003-04-08,88.3,88.65,87.71,88.19,39712700
29,2003-04-09,88.36,89.1,86.77,87.03,55647300
30,2003-04-10,87.09,87.63,85.71,87.51,41812400
31,2003-04-11,88.16,88.7,86.86,87.15,47730100
32,2003-04-14,87.47,89.0,87.0,88.95,36711700
33,2003-04-15,88.84,89.78,88.42,89.78,49709800
34,2003-04-16,89.91,90.06,88.03,88.25,51788000
35,2003-04-17,88.3,89.72,88.19,89.56,37403100
36,2003-04-21,89.86,90.16,89.06,89.65,32052700
37,2003-04-22,89.1,91.56,88.89,91.34,59763600
38,2003-04-23,91.62,92.35,91.24,92.18,44227100
39,2003-04-24,91.53,92.08,90.96,91.36,49692400
40,2003-04-25,91.3,91.47,90.02,90.23,43917200
41,2003-04-28,90.44,92.19,90.3,91.79,46432900
42,2003-04-29,92.14,92.8,91.4,92.11,52017100
43,2003-04-30,91.91,92.57,91.41,91.91,48709100
44,2003-05-01,91.92,92.73,90.5,91.9,50240400
45,2003-05-02,91.56,93.47,91.49,93.21,50201500
46,2003-05-05,93.47,93.78,92.5,93.03,35437800
47,2003-05-06,93.04,94.38,93.0,93.91,44401000
48,2003-05-07,93.42,94.14,92.97,93.39,41413100
49,2003-05-08,92.52,93.33,92.28,92.45,40570700
50,2003-05-09,92.83,93.8,92.61,93.73,33608100
51,2003-05-12,93.5,95.12,93.28,94.88,35662300
52,2003-05-13,94.53,95.18,94.26,94.71,39253600
53,2003-05-14,95.09,95.24,93.91,94.51,32195100
54,2003-05-15,94.89,95.33,94.25,95.11,43879200
55,2003-05-16,94.89,95.45,94.26,94.87,38905000
56,2003-05-19,94.15,94.42,92.33,92.65,41606000
57,2003-05-20,92.82,93.03,91.59,92.46,55404600
58,2003-05-21,92.11,92.88,91.91,92.65,49333800
59,2003-05-22,92.95,94.05,92.68,93.57,38421800
60,2003-05-23,93.53,93.98,93.14,93.76,26155900
61,2003-05-27,93.3,95.84,93.07,95.4,43719200
62,2003-05-28,95.85,96.47,95.43,95.67,37727100
63,2003-05-29,95.88,96.82,95.08,95.42,50844200
64,2003-05-30,95.9,97.09,95.56,96.95,52529500
65,2003-06-02,97.53,98.45,96.67,97.35,50305500
66,2003-06-03,97.15,97.84,96.85,97.75,38254500
